"URL","Title","Rating","Num_Rating","Category","Address","Closed_Time","Image"
"https://www.google.com/maps/place/Projectivector+Semarang/data=!4m7!3m6!1s0x2e708b4fea7e9921:0x9a3978d0ec9a8022!8m2!3d-7.0025629!4d110.3508842!16s%2Fg%2F11hg3zs8vc!19sChIJIZl-6k-LcC4RIoCa7NB4OZo?authuser=0&hl=id&rclk=1","Projectivector Semarang","5,0","(1)","Toko Perlengkapan Kado","Jl. Ngaliyan Indah III No.6","","https://lh5.googleusercontent.com/p/AF1QipMHFs6-bE0iWf0BIP4t08Mu4Jhd0-c0fce-fzx1=w122-h92-k-no"
"https://www.google.com/maps/place/Desain+Sendiri+Gantungan+Kunci+Anda/data=!4m7!3m6!1s0x2e708ae4b0bdfb4b:0xeed2dbb0287733c!8m2!3d-7.007566!4d110.371559!16s%2Fg%2F1pzt1xyjp!19sChIJS_u9sOSKcC4RPHOHArst7Q4?authuser=0&hl=id&rclk=1","Desain Sendiri Gantungan Kunci Anda","4,8","(6)","Toko Suvenir","JL. Candi Mas Selatan, No. VI/206, Pasadena","⋅ Buka Sab pukul 10.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v3xa85inXgZZ0wd5TBPgWA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=54.23711&pitch=0&thumbfov=100"
"https://www.google.com/maps/place/Tiga+Putri+Collection+oleh+oleh+haji/data=!4m7!3m6!1s0x2e708abd6896e6d3:0x2c3e24deb6b0984e!8m2!3d-6.998553!4d110.344522!16s%2Fg%2F11bz_2n_h4!19sChIJ0-aWaL2KcC4RTpiwtt4kPiw?authuser=0&hl=id&rclk=1","Tiga Putri Collection oleh oleh haji","4,5","(77)","Toko Aksesori Pakaian","Ruko Segitiga Emas, Jl. Prof. Dr. Hamka","⋅ Buka Sab pukul 08.00","https://lh5.googleusercontent.com/p/AF1QipN4HoeqDZTV446ojF5uhl9ycemdP5miOfKgqP5u=w122-h92-k-no"
"https://www.google.com/maps/place/Pernik+Lucu/data=!4m7!3m6!1s0x2e708ae7d9479d31:0x1023dc73367ecf96!8m2!3d-6.9998244!4d110.3669103!16s%2Fg%2F1pzplybf5!19sChIJMZ1H2eeKcC4Rls9-NnPcIxA?authuser=0&hl=id&rclk=1","Pernik Lucu","5,0","(1)","Toko Suvenir","JL. Gatot Subroto, Krapyak, Kawasan Industri Candi H-2","⋅ Buka Sab pukul 09.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_fu4vfvZG8y8JOh6LclUtw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=71.83856&pitch=0&thumbfov=100"
"https://www.google.com/maps/place/Kartika+Souvenir/data=!4m7!3m6!1s0x2e708ac026d506d7:0xb735a77e1a3aea49!8m2!3d-6.9986054!4d110.3567095!16s%2Fg%2F1ptvr2hqc!19sChIJ1wbVJsCKcC4RSeo6Gn6nNbc?authuser=0&hl=id&rclk=1","Kartika Souvenir","5,0","(3)","Toko Suvenir","Jl. Karonsih Tim. Raya III No.227","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ovNX66TO1iHIAk_LCtmCtQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=81.79346&pitch=0&thumbfov=100"
"https://www.google.com/maps/place/Grosir+Souvenir+Semarang/data=!4m7!3m6!1s0x2e705fe308dceeb3:0x1627aef1c11dc829!8m2!3d-6.9719191!4d110.3059899!16s%2Fg%2F11sscnljh0!19sChIJs-7cCONfcC4RKcgdwfGuJxY?authuser=0&hl=id&rclk=1","Grosir Souvenir Semarang","","","Toko Suvenir","28H4+688, Jl. Krajan","⋅ Buka Sab pukul 09.00","https://lh5.googleusercontent.com/p/AF1QipMHv37BjvR1niUrfEkZrj1nOKdl4NCeUgAo3z3R=w80-h150-k-no"
"https://www.google.com/maps/place/narcraft+UNDANGAN,+SOUVENIR,+ANGPAO+%26+PACKAGING/data=!4m7!3m6!1s0x2e70638d4230a273:0x70692dee7b54a4d8!8m2!3d-6.9981825!4d110.3191949!16s%2Fg%2F11j2ml_bmh!19sChIJc6IwQo1jcC4R2KRUe-4taXA?authuser=0&hl=id&rclk=1","narcraft UNDANGAN, SOUVENIR, ANGPAO & PACKAGING","5,0","(378)","Layanan Percetakan Undangan","Perum Jl. Griya Lestari No.14","⋅ Buka Sab pukul 09.00","https://lh5.googleusercontent.com/p/AF1QipMNYQUG9UukrfMyLxVu-x_rVflDrDcmsVevehs=w92-h92-k-no"
"https://www.google.com/maps/place/Waroeng+Souvenir/data=!4m7!3m6!1s0x2e708ae7d5c3f6af:0xa42a3502f3792943!8m2!3d-7.0004655!4d110.3667232!16s%2Fg%2F11bc7mr64j!19sChIJr_bD1eeKcC4RQyl58wI1KqQ?authuser=0&hl=id&rclk=1","Waroeng Souvenir","","","Toko Suvenir","Jl. Gatot Subroto No.12","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WiknlZwgt0WKZYkyxc_RLw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=159.6933&pitch=0&thumbfov=100"
"https://www.google.com/maps/place/MM+Gift/data=!4m7!3m6!1s0x2e7061980d59a897:0xe7b5de5ee2298f59!8m2!3d-7.0025093!4d110.3259066!16s%2Fg%2F11fnqnykc8!19sChIJl6hZDZhhcC4RWY8p4l7etec?authuser=0&hl=id&rclk=1","MM Gift","5,0","(4)","Toko Suvenir","Taman Beringin Elok Tahap 2 Blok E1","⋅ Buka Sab pukul 09.00","https://lh5.googleusercontent.com/p/AF1QipOl9UsTG902lzK4irWP0ryslNbBM_pcWcWCOUFf=w168-h92-k-no"
"https://www.google.com/maps/place/Windarko+Project/data=!4m7!3m6!1s0x2e708b084a599415:0xa91dbfc5f0a97bb!8m2!3d-7.0186278!4d110.3818559!16s%2Fg%2F11rmnrt3v1!19sChIJFZRZSgiLcC4Ru5cKX_zbkQo?authuser=0&hl=id&rclk=1","Windarko Project","5,0","(21)","Toko Suvenir Pernikahan","Jl. Mayangsari, RT.2/RW.2","⋅ Buka Sab pukul 08.00","https://lh5.googleusercontent.com/p/AF1QipNcBWTtgUWf-uhxZHeKy50a4oq9QCqvF2SQavN9=w80-h106-k-no"
